timestamp,participants,categorization,id,conversation_id,conversation_time,date,time,duration
2023-10-04T11:00:26.522Z,"[{""name"":""Daniel"",""role"":""coach""},{""name"":""Mary"",""role"":""client""}]","[""health"",""nutrition"",""weight loss"",""exercise""]",a2a37be8-7d4c-4372-9c62-363e9af42d22,null,null,null,null,null
2023-10-04T11:00:24.558Z,"[{""role"":""coach"",""name"":""Daniel""},{""role"":""client"",""name"":""Mary""}]","[""weight loss"",""lifestyle"",""exercise"",""diet"",""goal setting""]",fdbd3436-7b24-4098-84dd-4be30703d640,fdbd3436-7b24-4098-84dd-4be30703d640,null,null,null,null
2023-10-04T11:00:34.309Z,"[{""name"":""Jessica"",""role"":""coach""},{""name"":""Alex"",""role"":""client""}]","[""health"",""diet"",""exercise"",""motivation""]",19004643-7a3b-4ba0-bacb-febc8dd33c6e,null,null,null,null,null
2023-10-04T11:00:31.929Z,"[{""role"":""coach"",""name"":""Jessica""},{""role"":""client"",""name"":""Alex""}]","[""health"",""weight loss"",""diet"",""exercise"",""blood pressure""]",8c2c0295-d150-4797-ad8a-be62eb074128,8c2c0295-d150-4797-ad8a-be62eb074128,null,null,null,null
2023-10-04T11:00:29.411Z,"[{""role"":""coach"",""name"":""Sophia""},{""role"":""client"",""name"":""Mike""}]","[""weight loss"",""self-esteem"",""lifestyle"",""eating habits"",""physical activity"",""health and well-being"",""support"",""progress"",""goals""]",385d1e9a-a4a6-4978-8c99-88fe6b4938f6,385d1e9a-a4a6-4978-8c99-88fe6b4938f6,null,null,null,null
2023-10-04T11:00:39.561Z,"[{""name"":""Sophia"",""role"":""coach""},{""name"":""Mike"",""role"":""client""}]","[""nutrition"",""fitness"",""motivation"",""goal-setting"",""support""]",2dcad9b8-038a-41c8-b861-a6baebc0ed27,2dcad9b8-038a-41c8-b861-a6baebc0ed27,null,null,null,null
2023-10-04T11:00:37.580Z,"[{""name"":""Adam"",""role"":""coach""},{""name"":""Olivia"",""role"":""client""}]","[""stress management"",""emotional eating"",""nutrition"",""healthy lifestyle""]",0c4b7762-ca42-4519-ac57-52ebc1de5846,null,null,null,null,null
2023-10-04T11:00:42.565Z,"[{""role"":""coach"",""name"":""Adam""},{""role"":""client"",""name"":""Olivia""}]","[""health"",""fitness"",""nutrition"",""progress"",""challenges"",""exercise"",""strength training"",""goal setting""]",795f1a0e-8315-4c61-ba5c-641e0ef33441,795f1a0e-8315-4c61-ba5c-641e0ef33441,null,null,null,null
2023-10-04T11:00:45.365Z,"[{""name"":""Rachel"",""role"":""coach""},{""name"":""Jacob"",""role"":""client""}]","[""health"",""weight loss"",""pre-diabetes"",""nutrition"",""lifestyle changes""]",a4a3f8c0-2362-4382-98c9-5e5e647fb73e,a4a3f8c0-2362-4382-98c9-5e5e647fb73e,null,null,null,null
2023-10-04T11:00:52.012Z,"[{""name"":""Rachel"",""role"":""coach""},{""name"":""Jacob"",""role"":""client""}]","[""health"",""motivation"",""goal setting"",""support""]",91fcfaaf-f269-46c6-b9d0-b65859a84c49,91fcfaaf-f269-46c6-b9d0-b65859a84c49,null,null,null,null
2023-10-04T11:00:45.114Z,"[{""name"":""Henry"",""role"":""coach""},{""name"":""Eleanor"",""role"":""client""}]","[""health"",""concerns"",""improvement""]",0c1ec2ac-2852-409a-8bbe-3cb5b8f3d043,null,null,null,null,null
2023-10-04T11:00:51.992Z,"[{""role"":""coach"",""name"":""Henry""},{""role"":""client"",""name"":""Eleanor""}]","[""lifestyle changes"",""progress"",""obstacles"",""stress management"",""healthy snacks"",""meal planning"",""exercise"",""prioritization""]",73d72151-cbd0-4bb4-84a5-4bee6ed9b632,73d72151-cbd0-4bb4-84a5-4bee6ed9b632,null,null,null,null
2023-10-04T11:00:55.238Z,"[{""role"":""coach"",""name"":""Tom""},{""role"":""client"",""name"":""Samuel""}]","[""health"",""nutrition"",""stress management"",""support""]",3e650d8c-4cb7-4767-baec-30d2db75b934,3e650d8c-4cb7-4767-baec-30d2db75b934,null,null,null,null
2023-10-04T11:00:57.075Z,"[{""name"":""Tom"",""role"":""coach""},{""name"":""Samuel"",""role"":""client""}]","[""health"",""nutrition"",""exercise"",""support""]",1cf2abfc-bfdb-4dd6-a168-0769f93d9434,null,null,null,null,null
2023-10-04T11:00:54.727Z,"[{""role"":""coach"",""name"":""Tom""},{""role"":""client"",""name"":""Samuel""}]","[""Type 1 diabetes"",""Dietary restrictions"",""Blood sugar management"",""Healthy eating"",""Cravings"",""Fruits for diabetics"",""Meal planning"",""Nutritional needs""]",727d3f84-ddd0-42cf-96c6-4cc79c37c1fc,727d3f84-ddd0-42cf-96c6-4cc79c37c1fc,null,null,null,null
2023-10-04T11:01:03.106Z,"[{""name"":""Alex"",""role"":""coach""},{""name"":""Linda"",""role"":""client""}]","[""health"",""nutrition"",""diabetes"",""meal planning""]",6fc6a298-6386-48d0-8372-bc86b2577e92,6fc6a298-6386-48d0-8372-bc86b2577e92,null,null,null,null
2023-10-04T11:00:59.853Z,"[{""role"":""coach"",""name"":""Alex""},{""role"":""client"",""name"":""Linda""}]","[""nutrition"",""healthy eating"",""cravings"",""habit change""]",d5ffba5f-5577-48b3-acae-20cd8846b78d,d5ffba5f-5577-48b3-acae-20cd8846b78d,null,null,null,null
2022-01-01T12:00:00Z,"[{""role"":""coach"",""name"":""John""},{""role"":""client"",""name"":""Sarah""}]","[""coaching"",""communication"",""personal development""]",71cf4f46-ab43-434b-8a94-37d9f36d9cce,null,null,null,null,null
2023-10-04,"[{""role"":""coach"",""name"":""Mary""},{""role"":""client"",""name"":""Carlos""}]","[""weight loss"",""progress tracking"",""support"",""encouragement""]",97a806e5-40f6-4b15-a89d-b1dd4f3588b2,null,11:01:08,null,null,null
2023-10-04T11:01:10.890Z,"[{""role"":""coach"",""name"":""Alex""},{""role"":""client"",""name"":""Linda""}]","[""health"",""nutrition"",""progress"",""challenges"",""meal planning""]",2c59dded-80fe-41c9-8489-830822c6d687,2c59dded-80fe-41c9-8489-830822c6d687,null,null,null,null
2023-10-04T11:01:15.462Z,"[{""name"":""Mary"",""role"":""coach""},{""name"":""Carlos"",""role"":""client""}]","[""health"",""weight loss"",""diet"",""exercise"",""support""]",a3956024-385e-4e0d-b597-58f37d661e61,a3956024-385e-4e0d-b597-58f37d661e61,null,null,null,null
2023-10-04T11:01:16.239Z,"[{""name"":""Peter"",""role"":""coach""},{""name"":""Tina"",""role"":""client""}]","[""health"",""nutrition"",""progress"",""wellness""]",6131465b-6e71-4415-af34-9cd7d05bd663,null,null,null,null,null
2023-10-04T11:01:14.603Z,"[{""role"":""coach"",""name"":""Peter""},{""role"":""client"",""name"":""Tina""}]","[""introductions"",""health"",""diabetes"",""nutrition"",""meal planning"",""active lifestyle""]",972cdef7-e828-4b60-9952-fa0e6274d12b,972cdef7-e828-4b60-9952-fa0e6274d12b,null,null,null,null
2023-10-04T11:01:20.153Z,"[{""name"":""Peter"",""role"":""coach""},{""name"":""Tina"",""role"":""client""}]","[""health"",""nutrition"",""blood sugar management"",""dietary balance""]",ca7be15c-4286-4e8d-acee-6c51090d768c,ca7be15c-4286-4e8d-acee-6c51090d768c,null,null,null,null
2023-10-04T11:01:24.741Z,"[{""role"":""coach"",""name"":""Emily""},{""role"":""client"",""name"":""John""}]","[""health"",""cardiovascular disease"",""lifestyle"",""eating habits"",""diets"",""exercise"",""goals"",""nutrition"",""weight loss"",""energy levels""]",c77130e4-18b3-4a27-beed-4bbd239bf071,c77130e4-18b3-4a27-beed-4bbd239bf071,null,2023-10-04,11:01:24,null
